"ClubHeadSpeed_RANKTHISWEEK_2008","ClubHeadSpeed_RANKLASTWEEK_2008","ClubHeadSpeed_PLAYERNAME_2008","ClubHeadSpeed_ROUNDS_2008","ClubHeadSpeed_AVG_2008","ClubHeadSpeed_TOTALCLUBHEADSPEED_2008","ClubHeadSpeed_TOTALATTEMPTS_2008","ClubHeadSpeed_FASTESTSPEED_2008","ClubHeadSpeed_SLOWESTSPEED_2008","stat_name","year"
62,62,"YE Yang",89,114.36,8348.43,73,118.69,110.76,"ClubHeadSpeed",2008
63,63,"Ryan Palmer",69,114.3,5143.36,45,118.41,111.33,"ClubHeadSpeed",2008
63,63,"Bo Van Pelt",101,114.3,9258.03,81,118.21,110.15,"ClubHeadSpeed",2008
65,65,"Will Ma Kenzie",62,114.29,6514.53,57,118.53,111.85,"ClubHeadSpeed",2008
66,66,"DJ Trahan",94,114.27,8227.11,72,116.97,111.67,"ClubHeadSpeed",2008
67,67,"Nicholas Thompson",113,114.16,10045.98,88,120.94,110.32,"ClubHeadSpeed",2008
68,68,"Michael Allen",91,114.15,8104.37,71,118.34,110.17,"ClubHeadSpeed",2008
69,69,"Nick Flanagan",89,114.12,8559.36,75,117.6,110.66,"ClubHeadSpeed",2008
70,70,"Mathew Goggin",91,113.92,8088.52,71,117.19,107.95,"ClubHeadSpeed",2008
71,71,"Kenny Perry",97,113.87,9793.09,86,119.79,108.09,"ClubHeadSpeed",2008
72,72,"Todd Demsey",80,113.81,7511.27,66,117.12,110.33,"ClubHeadSpeed",2008
72,72,"Michael Letzig",88,113.81,7739,68,117.47,102.25,"ClubHeadSpeed",2008
72,72,"Brenden Pappas",66,113.81,4893.66,43,119.86,110.65,"ClubHeadSpeed",2008
75,75,"Ted Purdy",68,113.79,5120.43,45,117.67,110.54,"ClubHeadSpeed",2008
76,76,"John Huston",56,113.69,5115.95,45,115.82,110.73,"ClubHeadSpeed",2008
77,77,"Steve Lowery",74,113.65,7160.03,63,117.08,110.29,"ClubHeadSpeed",2008
78,78,"Nathan Green",95,113.57,8177,72,119.8,109.19,"ClubHeadSpeed",2008
79,79,"Scott McCarron",63,113.47,5673.35,50,117.68,108.87,"ClubHeadSpeed",2008
80,80,"Joe Durant",92,113.46,8736.55,77,117.43,110.81,"ClubHeadSpeed",2008
81,81,"Mark Calcavecchia",67,113.45,5332.18,47,116.87,110.38,"ClubHeadSpeed",2008
82,82,"Mathias Gronberg",87,113.41,7484.87,66,118.31,106.83,"ClubHeadSpeed",2008
83,83,"Lee Janzen",89,113.38,7709.54,68,116.17,110.96,"ClubHeadSpeed",2008
84,84,"Bob Sowards",61,113.34,4873.77,43,116.83,110.64,"ClubHeadSpeed",2008
85,85,"Stuart Appleby",87,113.28,7023.25,62,116.58,107.21,"ClubHeadSpeed",2008
86,86,"Todd Hamilton",92,113.21,5207.68,46,117.6,108.32,"ClubHeadSpeed",2008
86,86,"Kevin Stadler",90,113.21,6679.47,59,116.94,109.53,"ClubHeadSpeed",2008
88,88,"Brett Rumford",72,113.17,6337.3,56,115.93,101.65,"ClubHeadSpeed",2008
88,88,"Johnson Wagner",83,113.17,7355.78,65,116.91,109.3,"ClubHeadSpeed",2008
90,90,"Stephen Ames",83,113.05,8252.73,73,118.96,109.31,"ClubHeadSpeed",2008
91,91,"Kevin Sutherland",98,112.92,9711.51,86,116.36,107.72,"ClubHeadSpeed",2008
92,92,"Ryan Moore",72,112.9,6322.14,56,116.67,106.35,"ClubHeadSpeed",2008
93,93,"Brett Quigley",80,112.88,6998.75,62,116.76,107.94,"ClubHeadSpeed",2008
94,94,"Steve Stricker",75,112.87,6095.01,54,115.26,110.31,"ClubHeadSpeed",2008
95,95,"Marc Turnesa",87,112.73,7890.77,70,116.17,109.27,"ClubHeadSpeed",2008
96,96,"John Rollins",94,112.7,8339.84,74,115.89,109.1,"ClubHeadSpeed",2008
97,97,"Billy Andrade",71,112.6,5629.79,50,114.82,109.11,"ClubHeadSpeed",2008
98,98,"Chris Stroud",81,112.58,7092.69,63,118.53,107.55,"ClubHeadSpeed",2008
99,99,"John Riegger",73,112.55,6302.75,56,116.29,108.93,"ClubHeadSpeed",2008
100,100,"Marco Dawson",64,112.49,5174.48,46,116.78,105.02,"ClubHeadSpeed",2008
101,101,"Hunter Mahan",87,112.42,8093.94,72,115.4,99.14,"ClubHeadSpeed",2008
102,102,"Chad Campbell",94,112.41,10229.08,91,117.24,108.2,"ClubHeadSpeed",2008
103,103,"Steve Marino",119,112.27,9880.13,88,115.37,109.19,"ClubHeadSpeed",2008
104,104,"Ken Duke",116,112.24,10887.73,97,116.34,104.43,"ClubHeadSpeed",2008
105,105,"Carl Pettersson",110,112.2,10771.45,96,116.71,107.31,"ClubHeadSpeed",2008
106,106,"Rich Beem",90,112.19,8190.17,73,114.83,108.62,"ClubHeadSpeed",2008
107,107,"Brad Elder",67,112.16,5607.89,50,115.86,108.96,"ClubHeadSpeed",2008
108,108,"Parker McLachlin",88,112.15,7626.44,68,116.88,109.05,"ClubHeadSpeed",2008
109,109,"Tim Petrovic",97,112.07,8405.23,75,117.33,108.74,"ClubHeadSpeed",2008
