"SubParRounds_RANKTHISWEEK_2014","SubParRounds_RANKLASTWEEK_2014","SubParRounds_PLAYERNAME_2014","SubParRounds_EVENTS_2014","stat_name","year"
341,341,"Kent Jones",2,"SubParRounds",2014
341,341,"Michael Kim",2,"SubParRounds",2014
341,341,"Johan Kok",1,"SubParRounds",2014
341,341,"Derek Lamely",2,"SubParRounds",2014
341,341,"Bernhard Langer",1,"SubParRounds",2014
341,341,"Pablo Larrazabal",5,"SubParRounds",2014
341,341,"Frank Lickliter II",4,"SubParRounds",2014
341,341,"Ken Looper",1,"SubParRounds",2014
341,341,"Bill Lunde",1,"SubParRounds",2014
341,341,"Paul McGinley",1,"SubParRounds",2014
341,341,"Paul McKechnie",1,"SubParRounds",2014
341,341,"Jamie McLeary",1,"SubParRounds",2014
341,341,"Yusaku Miyazato",2,"SubParRounds",2014
341,341,"Colin Montgomerie",1,"SubParRounds",2014
341,341,"Erick Morales",1,"SubParRounds",2014
341,341,"Toshinori Muto",1,"SubParRounds",2014
341,341,"Zachary Olsen",2,"SubParRounds",2014
341,341,"Carlos Ortiz",1,"SubParRounds",2014
341,341,"Garrett Osborn",1,"SubParRounds",2014
341,341,"Rod Perry",7,"SubParRounds",2014
341,341,"Fran Quinn",1,"SubParRounds",2014
341,341,"Chris Riley",2,"SubParRounds",2014
341,341,"Chris Rodgers",1,"SubParRounds",2014
341,341,"Andrew Ruthkoski",1,"SubParRounds",2014
341,341,"Alan Scheer",1,"SubParRounds",2014
341,341,"Mark Silvers",1,"SubParRounds",2014
341,341,"John Singleton",1,"SubParRounds",2014
341,341,"Paul Stankowski",3,"SubParRounds",2014
341,341,"Derek Tolan",1,"SubParRounds",2014
341,341,"Martin Trainer",1,"SubParRounds",2014
341,341,"Austen Truslow",1,"SubParRounds",2014
341,341,"Yoshinobu Tsukada",1,"SubParRounds",2014
341,341,"James Vargas",1,"SubParRounds",2014
341,341,"Harold Varner III",2,"SubParRounds",2014
341,341,"Cory Whitsett",1,"SubParRounds",2014
341,341,"Cameron Wilson",3,"SubParRounds",2014
341,341,"Eugene Wong",1,"SubParRounds",2014
