"OverallPuttingAverage_RANKTHISWEEK_2006","OverallPuttingAverage_RANKLASTWEEK_2006","OverallPuttingAverage_PLAYERNAME_2006","OverallPuttingAverage_ROUNDS_2006","OverallPuttingAverage_AVG_2006","OverallPuttingAverage_OFPUTTS_2006","OverallPuttingAverage_OFHOLES_2006","stat_name","year"
22,22,"Mark OMeara",52,1.594,1435,900,"OverallPuttingAverage",2006
24,24,"Shane Bertsch",104,1.595,2928,1836,"OverallPuttingAverage",2006
24,24,"Ernie Els",69,1.595,1838,1152,"OverallPuttingAverage",2006
24,24,"Joe Ogilvie",95,1.595,2612,1638,"OverallPuttingAverage",2006
27,27,"Woody Austin",107,1.596,3073,1926,"OverallPuttingAverage",2006
27,27,"Scott Verplank",88,1.596,2470,1548,"OverallPuttingAverage",2006
29,29,"Stewart Cink",93,1.597,2530,1584,"OverallPuttingAverage",2006
29,29,"Len Mattiace",59,1.597,1696,1062,"OverallPuttingAverage",2006
31,31,"Freddie Jacobson",56,1.599,1612,1008,"OverallPuttingAverage",2006
31,31,"Tag Ridings",103,1.599,2879,1800,"OverallPuttingAverage",2006
31,31,"Kirk Triplett",58,1.599,1612,1008,"OverallPuttingAverage",2006
34,34,"Eric Axley",91,1.6,2563,1602,"OverallPuttingAverage",2006
34,34,"Ryan Palmer",101,1.6,2851,1782,"OverallPuttingAverage",2006
36,36,"Danny Ellis",68,1.602,1846,1152,"OverallPuttingAverage",2006
36,36,"JP Hayes",55,1.602,1586,990,"OverallPuttingAverage",2006
36,36,"Carl Pettersson",95,1.602,2682,1674,"OverallPuttingAverage",2006
36,36,"Dean Wilson",115,1.602,3200,1998,"OverallPuttingAverage",2006
40,40,"Olin Browne",108,1.603,3001,1872,"OverallPuttingAverage",2006
40,40,"Jim Furyk",89,1.603,2539,1584,"OverallPuttingAverage",2006
42,42,"David Duval",71,1.604,1992,1242,"OverallPuttingAverage",2006
42,42,"Steve Flesch",119,1.604,3321,2070,"OverallPuttingAverage",2006
42,42,"Ryuji Imada",105,1.604,2945,1836,"OverallPuttingAverage",2006
42,42,"Justin Leonard",83,1.604,2281,1422,"OverallPuttingAverage",2006
46,46,"David Howell",52,1.605,1300,810,"OverallPuttingAverage",2006
46,46,"Tom Pernice Jr",108,1.605,3004,1872,"OverallPuttingAverage",2006
46,46,"Vijay Singh",103,1.605,2889,1800,"OverallPuttingAverage",2006
49,49,"Dudley Hart",83,1.606,2400,1494,"OverallPuttingAverage",2006
49,49,"John Huston",74,1.606,2082,1296,"OverallPuttingAverage",2006
49,49,"Phil Mickelson",74,1.606,1995,1242,"OverallPuttingAverage",2006
49,49,"Corey Pavin",74,1.606,2024,1260,"OverallPuttingAverage",2006
49,49,"Rory Sabbatini",84,1.606,2400,1494,"OverallPuttingAverage",2006
54,54,"Arjun Atwal",97,1.607,2748,1710,"OverallPuttingAverage",2006
54,54,"Robert Damron",91,1.607,2633,1638,"OverallPuttingAverage",2006
54,54,"Geoff Ogilvy",76,1.607,2025,1260,"OverallPuttingAverage",2006
54,54,"Vance Veazey",59,1.607,1707,1062,"OverallPuttingAverage",2006
58,58,"Charley Hoffman",100,1.608,2836,1764,"OverallPuttingAverage",2006
58,58,"Richard Johnson",94,1.608,2720,1692,"OverallPuttingAverage",2006
58,58,"Greg Kraft",79,1.608,2171,1350,"OverallPuttingAverage",2006
58,58,"Stephen Leaney",84,1.608,2432,1512,"OverallPuttingAverage",2006
58,58,"DA Points",82,1.608,2316,1440,"OverallPuttingAverage",2006
63,63,"Brent Geiberger",99,1.609,2809,1746,"OverallPuttingAverage",2006
