"AccuracyRating_RANKTHISWEEK_2014","AccuracyRating_RANKLASTWEEK_2014","AccuracyRating_PLAYERNAME_2014","AccuracyRating_EVENTS_2014","AccuracyRating_RATING_2014","stat_name","year"
36,36,"Scott Gardiner",3,7.4,"AccuracyRating",2014
36,36,"Chesson Hadley",11,7.4,"AccuracyRating",2014
36,36,"Matteo Manassero",3,7.4,"AccuracyRating",2014
36,36,"Ted Potter Jr",8,7.4,"AccuracyRating",2014
36,36,"Alex Prugh",3,7.4,"AccuracyRating",2014
36,36,"Heath Slocum",11,7.4,"AccuracyRating",2014
36,36,"Brian Stuard",13,7.4,"AccuracyRating",2014
36,36,"David Toms",10,7.4,"AccuracyRating",2014
47,47,"Glen Day",1,7.3,"AccuracyRating",2014
47,47,"Victor Dubuisson",6,7.3,"AccuracyRating",2014
47,47,"Jason Dufner",10,7.3,"AccuracyRating",2014
47,47,"Miguel Angel Jimenez",2,7.3,"AccuracyRating",2014
47,47,"Matt Kuchar",18,7.3,"AccuracyRating",2014
47,47,"Billy Mayfair",1,7.3,"AccuracyRating",2014
47,47,"John Merrick",15,7.3,"AccuracyRating",2014
47,47,"Justin Rose",12,7.3,"AccuracyRating",2014
47,47,"Kevin Stadler",15,7.3,"AccuracyRating",2014
47,47,"Will Wilcox",7,7.3,"AccuracyRating",2014
47,47,"Lee Williams",3,7.3,"AccuracyRating",2014
58,58,"Robert Allenby",11,7.2,"AccuracyRating",2014
58,58,"Jason Bohn",14,7.2,"AccuracyRating",2014
58,58,"Darren Fichardt",1,7.2,"AccuracyRating",2014
58,58,"Rickie Fowler",12,7.2,"AccuracyRating",2014
58,58,"Brad Fritsch",6,7.2,"AccuracyRating",2014
58,58,"Brian Harman",22,7.2,"AccuracyRating",2014
58,58,"David Hearn",17,7.2,"AccuracyRating",2014
58,58,"Billy Horschel",15,7.2,"AccuracyRating",2014
58,58,"Billy Hurley III",13,7.2,"AccuracyRating",2014
58,58,"Steven Ihm",1,7.2,"AccuracyRating",2014
58,58,"Troy Merritt",10,7.2,"AccuracyRating",2014
58,58,"Wes Roach",8,7.2,"AccuracyRating",2014
58,58,"Adam Scott",14,7.2,"AccuracyRating",2014
58,58,"Kyle Stanley",12,7.2,"AccuracyRating",2014
58,58,"Henrik Stenson",9,7.2,"AccuracyRating",2014
58,58,"Andrew Svoboda",13,7.2,"AccuracyRating",2014
58,58,"Boo Weekley",11,7.2,"AccuracyRating",2014
75,75,"Keegan Bradley",15,7.1,"AccuracyRating",2014
75,75,"Brendon de Jonge",20,7.1,"AccuracyRating",2014
75,75,"Harris English",16,7.1,"AccuracyRating",2014
75,75,"Matt Every",13,7.1,"AccuracyRating",2014
75,75,"Robert Garrigus",15,7.1,"AccuracyRating",2014
75,75,"James Hahn",13,7.1,"AccuracyRating",2014
75,75,"Peter Hanson",5,7.1,"AccuracyRating",2014
75,75,"Charley Hoffman",18,7.1,"AccuracyRating",2014
75,75,"Martin Kaymer",10,7.1,"AccuracyRating",2014
75,75,"Jason Kokrak",13,7.1,"AccuracyRating",2014
75,75,"Marc Leishman",15,7.1,"AccuracyRating",2014
75,75,"George McNeill",15,7.1,"AccuracyRating",2014
75,75,"Francesco Molinari",7,7.1,"AccuracyRating",2014
75,75,"Webb Simpson",17,7.1,"AccuracyRating",2014
75,75,"Brendan Steele",14,7.1,"AccuracyRating",2014
75,75,"Kevin Streelman",12,7.1,"AccuracyRating",2014
75,75,"Vaughn Taylor",1,7.1,"AccuracyRating",2014
