"LateRound4ScoringAverage_RANKTHISWEEK_2009","LateRound4ScoringAverage_RANKLASTWEEK_2009","LateRound4ScoringAverage_PLAYERNAME_2009","LateRound4ScoringAverage__2009","LateRound4ScoringAverage_AVG_2009","LateRound4ScoringAverage_TOTALSTROKES_2009","LateRound4ScoringAverage_TOTALROUNDS_2009","stat_name","year"
45,45,"Kevin Sutherland",NA,70,420,6,"LateRound4ScoringAverage",2009
51,51,"Tim Clark",NA,70.09,771,11,"LateRound4ScoringAverage",2009
52,52,"Nick Watney",NA,70.1,701,10,"LateRound4ScoringAverage",2009
53,53,"Ben Crane",NA,70.11,631,9,"LateRound4ScoringAverage",2009
54,54,"Glen Day",NA,70.13,561,8,"LateRound4ScoringAverage",2009
55,55,"Will Ma Kenzie",NA,70.17,421,6,"LateRound4ScoringAverage",2009
55,55,"Scott McCarron",NA,70.17,421,6,"LateRound4ScoringAverage",2009
57,57,"Sean OHair",NA,70.18,772,11,"LateRound4ScoringAverage",2009
58,58,"Dustin Johnson",NA,70.2,702,10,"LateRound4ScoringAverage",2009
58,58,"Matt Jones",NA,70.2,351,5,"LateRound4ScoringAverage",2009
58,58,"Nick OHern",NA,70.2,702,10,"LateRound4ScoringAverage",2009
61,61,"Kevin Na",NA,70.21,983,14,"LateRound4ScoringAverage",2009
62,62,"Ryan Moore",NA,70.23,913,13,"LateRound4ScoringAverage",2009
63,63,"Jason Day",NA,70.25,562,8,"LateRound4ScoringAverage",2009
63,63,"Kirk Triplett",NA,70.25,281,4,"LateRound4ScoringAverage",2009
65,65,"Zach Johnson",NA,70.27,1054,15,"LateRound4ScoringAverage",2009
66,66,"Tim Petrovic",NA,70.38,563,8,"LateRound4ScoringAverage",2009
67,67,"Lee Janzen",NA,70.43,493,7,"LateRound4ScoringAverage",2009
67,67,"Webb Simpson",NA,70.43,493,7,"LateRound4ScoringAverage",2009
67,67,"David Toms",NA,70.43,986,14,"LateRound4ScoringAverage",2009
70,70,"Ian Poulter",NA,70.45,775,11,"LateRound4ScoringAverage",2009
71,71,"Ricky Barnes",NA,70.5,282,4,"LateRound4ScoringAverage",2009
71,71,"Angel Cabrera",NA,70.5,423,6,"LateRound4ScoringAverage",2009
71,71,"Marc Leishman",NA,70.5,564,8,"LateRound4ScoringAverage",2009
71,71,"Kevin Stadler",NA,70.5,423,6,"LateRound4ScoringAverage",2009
