"FairwayBunkerTendency_RANKTHISWEEK_2015","FairwayBunkerTendency_RANKLASTWEEK_2015","FairwayBunkerTendency_PLAYERNAME_2015","FairwayBunkerTendency_ROUNDS_2015","FairwayBunkerTendency_Pct_2015","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2015","FairwayBunkerTendency_POSSIBLEFWYS_2015","FairwayBunkerTendency_RELATIVETOPAR_2015","stat_name","year"
129,129,"Michael Putnam",87,6.7,63,936,0.159,"FairwayBunkerTendency",2015
129,129,"Robert Streb",110,6.7,90,1341,0.333,"FairwayBunkerTendency",2015
131,131,"Rickie Fowler",76,6.8,54,789,0.185,"FairwayBunkerTendency",2015
131,131,"Brian Harman",90,6.8,74,1090,0.095,"FairwayBunkerTendency",2015
131,131,"Vijay Singh",78,6.8,65,955,0.092,"FairwayBunkerTendency",2015
131,131,"Jhonattan Vegas",90,6.8,67,992,-0.015,"FairwayBunkerTendency",2015
131,131,"Boo Weekley",79,6.8,63,931,0.222,"FairwayBunkerTendency",2015
136,136,"Luke Guthrie",84,6.9,65,938,0.338,"FairwayBunkerTendency",2015
136,136,"Chris Stroud",84,6.9,65,942,0.092,"FairwayBunkerTendency",2015
138,138,"Derek Fathauer",81,7,63,904,0.206,"FairwayBunkerTendency",2015
138,138,"Jason Kokrak",88,7,77,1100,0.286,"FairwayBunkerTendency",2015
138,138,"Brandt Snedeker",98,7,73,1042,0.192,"FairwayBunkerTendency",2015
141,141,"Eric Axley",57,7.1,42,595,0.405,"FairwayBunkerTendency",2015
141,141,"Steven Bowditch",103,7.1,86,1219,0.058,"FairwayBunkerTendency",2015
141,141,"KJ Choi",66,7.1,56,790,0.25,"FairwayBunkerTendency",2015
141,141,"Charley Hoffman",97,7.1,75,1057,0.28,"FairwayBunkerTendency",2015
141,141,"Ryo Ishikawa",90,7.1,73,1031,-0.068,"FairwayBunkerTendency",2015
141,141,"Danny Lee",120,7.1,98,1385,0.235,"FairwayBunkerTendency",2015
141,141,"Jeff Overton",94,7.1,73,1032,0.397,"FairwayBunkerTendency",2015
141,141,"Cameron Tringale",96,7.1,78,1094,0.154,"FairwayBunkerTendency",2015
141,141,"Steve Wheatcroft",87,7.1,71,1002,0.239,"FairwayBunkerTendency",2015
150,150,"Jason Dufner",76,7.2,48,666,0.229,"FairwayBunkerTendency",2015
150,150,"Scott Stallings",60,7.2,49,676,0.388,"FairwayBunkerTendency",2015
152,152,"Matt Every",73,7.3,56,765,0.125,"FairwayBunkerTendency",2015
152,152,"Billy Horschel",99,7.3,74,1016,0.203,"FairwayBunkerTendency",2015
152,152,"Carl Pettersson",106,7.3,97,1327,0,"FairwayBunkerTendency",2015
155,155,"Brooks Koepka",84,7.5,67,894,0.119,"FairwayBunkerTendency",2015
155,155,"Scott Piercy",90,7.5,86,1148,0.256,"FairwayBunkerTendency",2015
155,155,"Jimmy Walker",89,7.5,66,878,0.03,"FairwayBunkerTendency",2015
155,155,"Gary Woodland",81,7.5,56,747,0.196,"FairwayBunkerTendency",2015
159,159,"Hunter Mahan",88,7.6,69,902,0.188,"FairwayBunkerTendency",2015
160,160,"Sergio Garcia",59,7.7,38,495,0.184,"FairwayBunkerTendency",2015
160,160,"DA Points",72,7.7,61,797,0.082,"FairwayBunkerTendency",2015
162,162,"Chesson Hadley",101,7.8,96,1235,0.104,"FairwayBunkerTendency",2015
162,162,"James Hahn",94,7.8,84,1082,0.167,"FairwayBunkerTendency",2015
162,162,"Geoff Ogilvy",50,7.8,38,490,0.237,"FairwayBunkerTendency",2015
162,162,"Nick Taylor",91,7.8,90,1148,0.211,"FairwayBunkerTendency",2015
166,166,"Bill Haas",89,7.9,78,986,0.103,"FairwayBunkerTendency",2015
166,166,"Tom Hoge",83,7.9,71,904,0.113,"FairwayBunkerTendency",2015
166,166,"Chris Kirk",76,7.9,62,782,0.065,"FairwayBunkerTendency",2015
169,169,"Morgan Hoffmann",85,8,76,955,0.25,"FairwayBunkerTendency",2015
170,170,"Erik Compton",86,8.1,78,963,0.115,"FairwayBunkerTendency",2015
171,171,"Tyrone Van Aswegen",58,8.3,48,578,0.229,"FairwayBunkerTendency",2015
