"BirdieorBetterPercentageLess125_RANKTHISWEEK_2007","BirdieorBetterPercentageLess125_RANKLASTWEEK_2007","BirdieorBetterPercentageLess125_PLAYERNAME_2007","BirdieorBetterPercentageLess125_ROUNDS_2007","BirdieorBetterPercentageLess125_Pct_2007","BirdieorBetterPercentageLess125_TOTALBIRDIES_2007","BirdieorBetterPercentageLess125_TOTALHOLES_2007","stat_name","year"
88,88,"Rich Barcelo",80,22.22,68,306,"BirdieorBetterPercentageLess125",2007
88,88,"Ken Duke",112,22.22,88,396,"BirdieorBetterPercentageLess125",2007
88,88,"Billy Mayfair",98,22.22,62,279,"BirdieorBetterPercentageLess125",2007
91,91,"Jeff Maggert",79,22.09,76,344,"BirdieorBetterPercentageLess125",2007
92,92,"John Senden",97,22.04,69,313,"BirdieorBetterPercentageLess125",2007
93,93,"Nick Watney",87,21.91,62,283,"BirdieorBetterPercentageLess125",2007
94,94,"JB Holmes",71,21.9,69,315,"BirdieorBetterPercentageLess125",2007
95,95,"Jason Dufner",100,21.88,72,329,"BirdieorBetterPercentageLess125",2007
96,96,"Lucas Glover",98,21.84,69,316,"BirdieorBetterPercentageLess125",2007
97,97,"Briny Baird",115,21.74,95,437,"BirdieorBetterPercentageLess125",2007
97,97,"Anders Hansen",55,21.74,25,115,"BirdieorBetterPercentageLess125",2007
99,99,"Justin Leonard",95,21.7,79,364,"BirdieorBetterPercentageLess125",2007
100,100,"Mathew Goggin",97,21.6,70,324,"BirdieorBetterPercentageLess125",2007
101,101,"Michael Sim",52,21.59,57,264,"BirdieorBetterPercentageLess125",2007
102,102,"Zach Johnson",76,21.55,50,232,"BirdieorBetterPercentageLess125",2007
103,103,"Luke Donald",69,21.54,42,195,"BirdieorBetterPercentageLess125",2007
104,104,"Eric Axley",107,21.52,85,395,"BirdieorBetterPercentageLess125",2007
105,105,"Matt Kuchar",85,21.51,60,279,"BirdieorBetterPercentageLess125",2007
106,106,"Daniel Chopra",106,21.5,92,428,"BirdieorBetterPercentageLess125",2007
107,107,"John Merrick",92,21.49,72,335,"BirdieorBetterPercentageLess125",2007
108,108,"Jeff Overton",60,21.43,57,266,"BirdieorBetterPercentageLess125",2007
109,109,"Tommy Armour III",81,21.41,70,327,"BirdieorBetterPercentageLess125",2007
110,110,"Kent Jones",97,21.22,73,344,"BirdieorBetterPercentageLess125",2007
111,111,"Tom Pernice Jr",104,21.15,70,331,"BirdieorBetterPercentageLess125",2007
112,112,"Bob Tway",103,21.14,74,350,"BirdieorBetterPercentageLess125",2007
113,113,"Tom Byrum",50,21.11,38,180,"BirdieorBetterPercentageLess125",2007
114,114,"Tag Ridings",52,21.1,46,218,"BirdieorBetterPercentageLess125",2007
115,115,"Mark Hensby",81,21.09,62,294,"BirdieorBetterPercentageLess125",2007
116,116,"Ryan Moore",92,21.07,55,261,"BirdieorBetterPercentageLess125",2007
117,117,"Jason Gore",86,21.05,68,323,"BirdieorBetterPercentageLess125",2007
117,117,"Bo Van Pelt",104,21.05,80,380,"BirdieorBetterPercentageLess125",2007
119,119,"Steve Lowery",74,20.98,64,305,"BirdieorBetterPercentageLess125",2007
120,120,"Dean Wilson",92,20.91,60,287,"BirdieorBetterPercentageLess125",2007
121,121,"Tim Herron",98,20.86,68,326,"BirdieorBetterPercentageLess125",2007
122,122,"Marco Dawson",73,20.79,58,279,"BirdieorBetterPercentageLess125",2007
123,123,"Robert Allenby",90,20.68,49,237,"BirdieorBetterPercentageLess125",2007
124,124,"Bryce Molder",56,20.66,50,242,"BirdieorBetterPercentageLess125",2007
125,125,"Chad Campbell",96,20.63,59,286,"BirdieorBetterPercentageLess125",2007
126,126,"Michael Boyd",61,20.58,50,243,"BirdieorBetterPercentageLess125",2007
126,126,"Chris Couch",76,20.58,71,345,"BirdieorBetterPercentageLess125",2007
128,128,"Joey Sindelar",75,20.56,59,287,"BirdieorBetterPercentageLess125",2007
129,129,"Stuart Appleby",74,20.5,49,239,"BirdieorBetterPercentageLess125",2007
130,130,"Mark Wilson",87,20.38,64,314,"BirdieorBetterPercentageLess125",2007
131,131,"Stephen Leaney",82,20.3,54,266,"BirdieorBetterPercentageLess125",2007
132,132,"Daisuke Maruyama",86,20.27,59,291,"BirdieorBetterPercentageLess125",2007
133,133,"Aaron Baddeley",83,20.24,51,252,"BirdieorBetterPercentageLess125",2007
134,134,"Peter Lonard",85,20.19,65,322,"BirdieorBetterPercentageLess125",2007
135,135,"David Branshaw",83,20.13,63,313,"BirdieorBetterPercentageLess125",2007
136,136,"Jose Maria Olazabal",52,20,28,140,"BirdieorBetterPercentageLess125",2007
136,136,"Dicky Pride",71,20,51,255,"BirdieorBetterPercentageLess125",2007
138,138,"Harrison Frazar",88,19.87,62,312,"BirdieorBetterPercentageLess125",2007
139,139,"Todd Hamilton",76,19.85,53,267,"BirdieorBetterPercentageLess125",2007
140,140,"John Daly",59,19.83,46,232,"BirdieorBetterPercentageLess125",2007
141,141,"Mark Brooks",53,19.79,38,192,"BirdieorBetterPercentageLess125",2007
141,141,"Paul Goydos",60,19.79,38,192,"BirdieorBetterPercentageLess125",2007
143,143,"Johnson Wagner",97,19.75,63,319,"BirdieorBetterPercentageLess125",2007
143,143,"Bubba Watson",80,19.75,63,319,"BirdieorBetterPercentageLess125",2007
145,145,"Chris DiMarco",79,19.71,54,274,"BirdieorBetterPercentageLess125",2007
145,145,"Brett Wetterich",88,19.71,54,274,"BirdieorBetterPercentageLess125",2007
147,147,"Jeff Quinney",95,19.7,66,335,"BirdieorBetterPercentageLess125",2007
148,148,"Vaughn Taylor",91,19.66,57,290,"BirdieorBetterPercentageLess125",2007
149,149,"Tom Lehman",62,19.65,34,173,"BirdieorBetterPercentageLess125",2007
150,150,"JJ Henry",86,19.62,51,260,"BirdieorBetterPercentageLess125",2007
151,151,"Mathias Gronberg",95,19.57,73,373,"BirdieorBetterPercentageLess125",2007
