"PuttingfromGrtr10_RANKTHISWEEK_2009","PuttingfromGrtr10_RANKLASTWEEK_2009","PuttingfromGrtr10_PLAYERNAME_2009","PuttingfromGrtr10_ROUNDS_2009","PuttingfromGrtr10_PctMADE_2009","PuttingfromGrtr10_ATTEMPTS_2009","PuttingfromGrtr10_PUTTSMADE_2009","stat_name","year"
73,73,"Charley Hoffman",97,15.81,879,139,"PuttingfromGrtr10",2009
74,74,"Padraig Harrington",66,15.8,462,73,"PuttingfromGrtr10",2009
75,75,"Harrison Frazar",93,15.7,879,138,"PuttingfromGrtr10",2009
76,76,"Marc Leishman",91,15.69,905,142,"PuttingfromGrtr10",2009
76,76,"Marc Turnesa",77,15.69,803,126,"PuttingfromGrtr10",2009
78,78,"Bubba Watson",73,15.67,587,92,"PuttingfromGrtr10",2009
79,79,"Todd Hamilton",83,15.64,684,107,"PuttingfromGrtr10",2009
80,80,"John Mallinger",90,15.6,718,112,"PuttingfromGrtr10",2009
80,80,"Tim Petrovic",97,15.6,859,134,"PuttingfromGrtr10",2009
82,82,"Tom Lehman",55,15.59,417,65,"PuttingfromGrtr10",2009
83,83,"Brian Davis",103,15.57,899,140,"PuttingfromGrtr10",2009
83,83,"John Senden",100,15.57,1021,159,"PuttingfromGrtr10",2009
85,85,"Kris Blanks",60,15.55,476,74,"PuttingfromGrtr10",2009
86,86,"Steve Lowery",83,15.52,799,124,"PuttingfromGrtr10",2009
87,87,"Scott Piercy",85,15.47,821,127,"PuttingfromGrtr10",2009
88,88,"Stewart Cink",79,15.43,622,96,"PuttingfromGrtr10",2009
89,89,"Ian Poulter",59,15.42,402,62,"PuttingfromGrtr10",2009
90,90,"Lucas Glover",93,15.41,811,125,"PuttingfromGrtr10",2009
91,91,"Brendon de Jonge",90,15.38,832,128,"PuttingfromGrtr10",2009
92,92,"Tom Pernice Jr",82,15.36,755,116,"PuttingfromGrtr10",2009
93,93,"Spencer Levin",75,15.35,736,113,"PuttingfromGrtr10",2009
93,93,"Nick Watney",86,15.35,697,107,"PuttingfromGrtr10",2009
95,95,"Eric Axley",71,15.32,594,91,"PuttingfromGrtr10",2009
96,96,"Patrick Sheehan",51,15.31,418,64,"PuttingfromGrtr10",2009
96,96,"Brendon Todd",53,15.31,529,81,"PuttingfromGrtr10",2009
98,98,"Kent Jones",73,15.3,647,99,"PuttingfromGrtr10",2009
98,98,"Troy Matteson",95,15.3,961,147,"PuttingfromGrtr10",2009
100,100,"Chad Campbell",90,15.27,753,115,"PuttingfromGrtr10",2009
101,101,"Michael Allen",73,15.26,616,94,"PuttingfromGrtr10",2009
