"LeftRoughTendencyRTPScore_RANKTHISWEEK_2009","LeftRoughTendencyRTPScore_RANKLASTWEEK_2009","LeftRoughTendencyRTPScore_PLAYERNAME_2009","LeftRoughTendencyRTPScore_ROUNDS_2009","LeftRoughTendencyRTPScore_RTPSCORE_2009","stat_name","year"
78,78,"Brian Davis",103,0.093,"LeftRoughTendencyRTPScore",2009
78,78,"Phil Mickelson",66,0.093,"LeftRoughTendencyRTPScore",2009
78,78,"Kevin Stadler",65,0.093,"LeftRoughTendencyRTPScore",2009
78,78,"David Toms",98,0.093,"LeftRoughTendencyRTPScore",2009
82,82,"Lucas Glover",93,0.094,"LeftRoughTendencyRTPScore",2009
83,83,"Chris Riley",77,0.095,"LeftRoughTendencyRTPScore",2009
84,84,"Ken Duke",87,0.096,"LeftRoughTendencyRTPScore",2009
84,84,"Parker McLachlin",71,0.096,"LeftRoughTendencyRTPScore",2009
86,86,"Ernie Els",70,0.098,"LeftRoughTendencyRTPScore",2009
87,87,"Michael Allen",73,0.099,"LeftRoughTendencyRTPScore",2009
88,88,"Patrick Sheehan",51,0.1,"LeftRoughTendencyRTPScore",2009
88,88,"Scott Sterling",51,0.1,"LeftRoughTendencyRTPScore",2009
90,90,"Jason Bohn",88,0.101,"LeftRoughTendencyRTPScore",2009
91,91,"Stephen Ames",77,0.102,"LeftRoughTendencyRTPScore",2009
91,91,"Cameron Beckman",87,0.102,"LeftRoughTendencyRTPScore",2009
93,93,"John Senden",100,0.105,"LeftRoughTendencyRTPScore",2009
94,94,"John Mallinger",90,0.107,"LeftRoughTendencyRTPScore",2009
95,95,"Tommy Armour III",58,0.108,"LeftRoughTendencyRTPScore",2009
96,96,"Angel Cabrera",55,0.109,"LeftRoughTendencyRTPScore",2009
96,96,"John Rollins",92,0.109,"LeftRoughTendencyRTPScore",2009
98,98,"Jason Day",61,0.11,"LeftRoughTendencyRTPScore",2009
98,98,"Nicholas Thompson",96,0.11,"LeftRoughTendencyRTPScore",2009
100,100,"Derek Fathauer",63,0.111,"LeftRoughTendencyRTPScore",2009
101,101,"Jim Furyk",86,0.115,"LeftRoughTendencyRTPScore",2009
101,101,"Mathew Goggin",76,0.115,"LeftRoughTendencyRTPScore",2009
101,101,"James Nitties",86,0.115,"LeftRoughTendencyRTPScore",2009
104,104,"Tim Petrovic",97,0.116,"LeftRoughTendencyRTPScore",2009
105,105,"Leif Olson",51,0.117,"LeftRoughTendencyRTPScore",2009
