"FedExCupStandings_RANKTHISWEEK_2015","FedExCupStandings_RANKLASTWEEK_2015","FedExCupStandings_PLAYERNAME_2015","FedExCupStandings_EVENTS_2015","FedExCupStandings_POINTS_2015","FedExCupStandings_OFWINS_2015","FedExCupStandings_OFTOP10S_2015","FedExCupStandings_POINTSBEHINDLEAD_2015","FedExCupStandings_RESETPOINTS_2015","stat_name","year"
81,81,"Hudson Swafford",30,776,NA,1,6194,NA,"FedExCupStandings",2015
82,82,"Spencer Levin",31,764,NA,1,6206,NA,"FedExCupStandings",2015
83,83,"Scott Pinckney",27,761,NA,3,6209,NA,"FedExCupStandings",2015
84,84,"Camilo Villegas",27,757,NA,NA,6213,NA,"FedExCupStandings",2015
85,85,"Morgan Hoffmann",26,749,NA,2,6221,NA,"FedExCupStandings",2015
86,86,"Davis Love III",18,735,1,2,6235,NA,"FedExCupStandings",2015
87,87,"Johnson Wagner",23,733,NA,3,6237,NA,"FedExCupStandings",2015
88,88,"Jason Dufner",21,730,NA,2,6240,NA,"FedExCupStandings",2015
89,89,"Matt Every",26,727,1,1,6243,NA,"FedExCupStandings",2015
90,90,"JJ Henry",30,716,1,1,6254,NA,"FedExCupStandings",2015
91,91,"Colt Knost",29,714,NA,4,6256,NA,"FedExCupStandings",2015
92,92,"Jason Gore",26,712,NA,2,6258,NA,"FedExCupStandings",2015
93,93,"Carlos Ortiz",30,711,NA,1,6259,NA,"FedExCupStandings",2015
94,94,"Scott Brown",30,696,NA,3,6274,NA,"FedExCupStandings",2015
95,95,"Mark Wilson",28,681,NA,3,6289,NA,"FedExCupStandings",2015
96,96,"Chad Campbell",30,670,NA,2,6300,NA,"FedExCupStandings",2015
97,97,"Will Wilcox",17,649,NA,4,6321,NA,"FedExCupStandings",2015
98,98,"Chesson Hadley",30,630,NA,3,6340,NA,"FedExCupStandings",2015
99,99,"Martin Laird",24,628,NA,3,6342,NA,"FedExCupStandings",2015
100,100,"Jason Kokrak",28,614,NA,2,6356,NA,"FedExCupStandings",2015
101,101,"Nick Taylor",28,613,1,1,6357,NA,"FedExCupStandings",2015
102,102,"Stewart Cink",23,612,NA,1,6358,NA,"FedExCupStandings",2015
103,103,"Padraig Harrington",21,610,1,1,6360,NA,"FedExCupStandings",2015
104,104,"Greg Owen",19,608,NA,2,6362,NA,"FedExCupStandings",2015
105,105,"John Peterson",25,588,NA,NA,6382,NA,"FedExCupStandings",2015
106,106,"Adam Scott",15,585,NA,3,6385,NA,"FedExCupStandings",2015
107,107,"Adam Hadwin",30,584,NA,3,6386,NA,"FedExCupStandings",2015
108,108,"Charl Schwartzel",19,584,NA,3,6386,NA,"FedExCupStandings",2015
109,109,"Lee Westwood",15,576,NA,1,6394,NA,"FedExCupStandings",2015
110,110,"John Huh",31,565,NA,NA,6405,NA,"FedExCupStandings",2015
111,111,"Francesco Molinari",16,558,NA,2,6412,NA,"FedExCupStandings",2015
112,112,"Graham DeLaet",22,545,NA,3,6425,NA,"FedExCupStandings",2015
113,113,"Jon Curran",28,540,NA,5,6430,NA,"FedExCupStandings",2015
114,114,"Steve Wheatcroft",28,536,NA,2,6434,NA,"FedExCupStandings",2015
115,115,"Andres Gonzales",28,531,NA,3,6439,NA,"FedExCupStandings",2015
