"AverageDistanceofBirdieputtsmade_RANKTHISWEEK_2009","AverageDistanceofBirdieputtsmade_RANKLASTWEEK_2009","AverageDistanceofBirdieputtsmade_PLAYERNAME_2009","AverageDistanceofBirdieputtsmade_ROUNDS_2009","AverageDistanceofBirdieputtsmade_AVG_2009","AverageDistanceofBirdieputtsmade_TOTDISTFT_2009","AverageDistanceofBirdieputtsmade_TOTBIRDIEPUTTSMADE_2009","AverageDistanceofBirdieputtsmade_LONGESTMADEFT_2009","AverageDistanceofBirdieputtsmade_SHORTESTMADEFT_2009","stat_name","year"
101,101,"Scott Piercy",85,NA,2567.083,272,52,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Brad Adamonis",70,NA,1603.167,172,58,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Michael Allen",73,NA,1822.667,196,53,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Robert Allenby",71,NA,1600.083,171,47,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Aaron Baddeley",66,NA,1813.417,194,62,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Tim Clark",81,NA,2181.833,233,53,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Jason Day",61,NA,1744,187,37,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Jason Dufner",90,NA,2479.75,265,50,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"David Duval",56,NA,1188.917,127,38,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Harrison Frazar",93,NA,2939.333,316,42,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Robert Garrigus",83,NA,2212.917,237,64,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Davis Love III",89,NA,2401.417,257,48,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"John Mallinger",90,NA,2170.417,232,46,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"George McNeill",82,NA,2470.25,265,63,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Rocco Mediate",79,NA,1967.75,210,69,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Vaughn Taylor",88,NA,2557.167,275,33,NA,"AverageDistanceofBirdieputtsmade",2009
109,109,"Scott Verplank",88,NA,2612.667,281,55,NA,"AverageDistanceofBirdieputtsmade",2009
125,125,"Tommy Armour III",58,NA,1614.167,174,60,NA,"AverageDistanceofBirdieputtsmade",2009
125,125,"Briny Baird",89,NA,2234.667,242,50,NA,"AverageDistanceofBirdieputtsmade",2009
125,125,"Alex Cejka",82,NA,2246.25,242,60,NA,"AverageDistanceofBirdieputtsmade",2009
125,125,"Ryan Moore",89,NA,2533.083,275,56,NA,"AverageDistanceofBirdieputtsmade",2009
125,125,"Rick Price",54,NA,1065,115,46,NA,"AverageDistanceofBirdieputtsmade",2009
125,125,"Brett Quigley",92,NA,2311.583,251,52,NA,"AverageDistanceofBirdieputtsmade",2009
125,125,"DJ Trahan",96,NA,2636,286,53,NA,"AverageDistanceofBirdieputtsmade",2009
