"VictoryLeaders_RANKTHISWEEK_2012","VictoryLeaders_RANKLASTWEEK_2012","VictoryLeaders_PLAYERNAME_2012","VictoryLeaders_EVENTS_2012","VictoryLeaders_VICTORIES_2012","stat_name","year"
38,38,"Fred Funk",4,NA,"VictoryLeaders",2012
38,38,"Jim Furyk",24,NA,"VictoryLeaders",2012
38,38,"Brian Gaffney",2,NA,"VictoryLeaders",2012
38,38,"Jim Gallagher Jr",1,NA,"VictoryLeaders",2012
38,38,"Robert Gamez",8,NA,"VictoryLeaders",2012
38,38,"Stephen Gangluff",23,NA,"VictoryLeaders",2012
38,38,"Tom Gardner",1,NA,"VictoryLeaders",2012
38,38,"Alejandro Garmendia",1,NA,"VictoryLeaders",2012
38,38,"Brice Garnett",1,NA,"VictoryLeaders",2012
38,38,"Robert Garrigus",26,NA,"VictoryLeaders",2012
38,38,"Dustin Garza",0,NA,"VictoryLeaders",2012
38,38,"Bobby Gates",29,NA,"VictoryLeaders",2012
38,38,"Brian Gay",28,NA,"VictoryLeaders",2012
38,38,"Andrew Georgiou",1,NA,"VictoryLeaders",2012
38,38,"Matthew Giles",1,NA,"VictoryLeaders",2012
38,38,"Tom Gillis",23,NA,"VictoryLeaders",2012
38,38,"Michael Gligic",1,NA,"VictoryLeaders",2012
38,38,"Lucas Glover",16,NA,"VictoryLeaders",2012
38,38,"Maximiliano Godoy",1,NA,"VictoryLeaders",2012
38,38,"Mathew Goggin",23,NA,"VictoryLeaders",2012
38,38,"Fabian Gomez",0,NA,"VictoryLeaders",2012
38,38,"Andres Gonzales",1,NA,"VictoryLeaders",2012
38,38,"Retief Goosen",12,NA,"VictoryLeaders",2012
38,38,"Jason Gore",8,NA,"VictoryLeaders",2012
38,38,"Paul Goydos",6,NA,"VictoryLeaders",2012
38,38,"Branden Grace",6,NA,"VictoryLeaders",2012
38,38,"Austin Graham",1,NA,"VictoryLeaders",2012
38,38,"Nathan Green",22,NA,"VictoryLeaders",2012
38,38,"Emiliano Grillo",1,NA,"VictoryLeaders",2012
38,38,"Mathias Gronberg",1,NA,"VictoryLeaders",2012
38,38,"Vaita Guillaume",1,NA,"VictoryLeaders",2012
38,38,"Austin Gutgsell",2,NA,"VictoryLeaders",2012
38,38,"Luke Guthrie",4,NA,"VictoryLeaders",2012
38,38,"Scott Gutschewski",0,NA,"VictoryLeaders",2012
38,38,"Jay Haas",0,NA,"VictoryLeaders",2012
38,38,"Hunter Haas",24,NA,"VictoryLeaders",2012
38,38,"Chesson Hadley",1,NA,"VictoryLeaders",2012
38,38,"Adam Hadwin",1,NA,"VictoryLeaders",2012
38,38,"James Hahn",1,NA,"VictoryLeaders",2012
38,38,"Paul Haley II",1,NA,"VictoryLeaders",2012
38,38,"Ashley Hall",1,NA,"VictoryLeaders",2012
38,38,"Todd Hamilton",10,NA,"VictoryLeaders",2012
38,38,"Hunter Hamrick",5,NA,"VictoryLeaders",2012
38,38,"Anders Hansen",7,NA,"VictoryLeaders",2012
38,38,"Peter Hanson",11,NA,"VictoryLeaders",2012
38,38,"Brian Harman",30,NA,"VictoryLeaders",2012
38,38,"Matt Harmon",0,NA,"VictoryLeaders",2012
38,38,"Padraig Harrington",18,NA,"VictoryLeaders",2012
38,38,"Dudley Hart",1,NA,"VictoryLeaders",2012
38,38,"Morris Hatalsky",1,NA,"VictoryLeaders",2012
