"DrivingPctAll_RANKTHISWEEK_2010","DrivingPctAll_RANKLASTWEEK_2010","DrivingPctAll_PLAYERNAME_2010","DrivingPctAll_ROUNDS_2010","DrivingPctAll_Pct_2010","DrivingPctAll_TOTALDRIVESFOR_2010","DrivingPctAll_TOTALDRIVESOVERALL_2010","DrivingPctAll_RELATIVETOPAR_2010","stat_name","year"
71,71,"Roland Thatcher",72,5.6,53,946,0.434,"DrivingPctAll",2010
73,73,"Lucas Glover",75,5.57,46,826,0.087,"DrivingPctAll",2010
74,74,"Marc Leishman",87,5.56,56,1008,0.054,"DrivingPctAll",2010
75,75,"Stuart Appleby",101,5.55,68,1226,0.132,"DrivingPctAll",2010
76,76,"Troy Merritt",86,5.5,59,1072,0.305,"DrivingPctAll",2010
77,77,"Chad Campbell",95,5.49,62,1129,0.194,"DrivingPctAll",2010
78,78,"Ricky Barnes",103,5.47,63,1152,0.222,"DrivingPctAll",2010
78,78,"Brett Quigley",96,5.47,67,1224,0.209,"DrivingPctAll",2010
78,78,"Brian Stuard",81,5.47,54,988,0.13,"DrivingPctAll",2010
81,81,"Jimmy Walker",82,5.46,53,971,0.226,"DrivingPctAll",2010
81,81,"Garrett Willis",82,5.46,54,989,0.296,"DrivingPctAll",2010
83,83,"Kevin Sutherland",86,5.45,59,1082,-0.034,"DrivingPctAll",2010
84,84,"George McNeill",79,5.43,53,976,0.226,"DrivingPctAll",2010
85,85,"Retief Goosen",75,5.42,40,738,-0.025,"DrivingPctAll",2010
85,85,"James Nitties",92,5.42,61,1125,0.475,"DrivingPctAll",2010
87,87,"Spencer Levin",110,5.35,73,1364,0.082,"DrivingPctAll",2010
87,87,"Jeff Overton",89,5.35,53,991,0.283,"DrivingPctAll",2010
89,89,"Greg Owen",69,5.33,46,863,0.196,"DrivingPctAll",2010
90,90,"Omar Uresti",74,5.31,45,848,-0.044,"DrivingPctAll",2010
91,91,"DA Points",90,5.28,58,1099,0.276,"DrivingPctAll",2010
92,92,"YE Yang",72,5.27,43,816,0.116,"DrivingPctAll",2010
93,93,"Bubba Watson",77,5.26,49,932,0.163,"DrivingPctAll",2010
94,94,"Brenden Pappas",66,5.24,40,764,0.275,"DrivingPctAll",2010
95,95,"Padraig Harrington",57,5.23,32,612,0.188,"DrivingPctAll",2010
96,96,"Jason Dufner",87,5.21,50,960,0.22,"DrivingPctAll",2010
97,97,"Ben Curtis",78,5.19,48,924,0.104,"DrivingPctAll",2010
97,97,"Billy Mayfair",78,5.19,47,906,0.191,"DrivingPctAll",2010
99,99,"Michael Connell",89,5.11,55,1076,-0.036,"DrivingPctAll",2010
99,99,"Cliff Kresge",50,5.11,32,626,0.313,"DrivingPctAll",2010
101,101,"Rickie Fowler",98,5.1,59,1157,0.153,"DrivingPctAll",2010
102,102,"Tim Petrovic",105,5.03,66,1311,0.03,"DrivingPctAll",2010
102,102,"Carl Pettersson",99,5.03,58,1152,0.138,"DrivingPctAll",2010
104,104,"Rory Sabbatini",79,5,47,940,0.149,"DrivingPctAll",2010
105,105,"David Lutterus",69,4.99,39,781,0.333,"DrivingPctAll",2010
105,105,"Roger Tambellini",77,4.99,43,862,0.326,"DrivingPctAll",2010
