"DistancetoApex_RANKTHISWEEK_2014","DistancetoApex_RANKLASTWEEK_2014","DistancetoApex_PLAYERNAME_2014","DistancetoApex_ROUNDS_2014","DistancetoApex_AVG_2014","DistancetoApex_TOTALAPEXRANGE_2014","DistancetoApex_TOTALATTEMPTS_2014","DistancetoApex_LONGESTDISTTOAPEX_2014","DistancetoApex_SHORTESTDISTTOAPEX_2014","stat_name","year"
21,21,"Robert Streb",75,195,13261.8,68,213.4,175.2,"DistancetoApex",2014
22,22,"Ryan Palmer",85,194.9,12860.9,66,211,168.5,"DistancetoApex",2014
23,23,"Rickie Fowler",91,194.8,12275.5,63,206.2,179,"DistancetoApex",2014
24,24,"Nick Watney",80,194.5,10502.7,54,206.8,182.4,"DistancetoApex",2014
25,25,"Jason Day",54,194.4,5444.5,28,210.2,173.9,"DistancetoApex",2014
26,26,"Aaron Baddeley",74,194.2,10681.1,55,213.9,167.3,"DistancetoApex",2014
27,27,"Matt Jones",83,194.1,13201,68,209.5,166.1,"DistancetoApex",2014
28,28,"Kevin Tway",64,193.6,9291,48,206.5,157.9,"DistancetoApex",2014
29,29,"Charl Schwartzel",64,193.5,9482.9,49,213.9,155.4,"DistancetoApex",2014
30,30,"Robert Garrigus",80,193.4,12766,66,209,164.2,"DistancetoApex",2014
31,31,"Brendan Steele",89,193.3,14301.6,74,205.2,175.3,"DistancetoApex",2014
32,32,"Jimmy Walker",98,192.9,12730,66,209.4,166.1,"DistancetoApex",2014
33,33,"Charley Hoffman",93,192.7,15609.5,81,211.1,168.1,"DistancetoApex",2014
34,34,"Keegan Bradley",89,192.5,12125.9,63,205,172.6,"DistancetoApex",2014
34,34,"Marc Leishman",81,192.5,12897.4,67,209.8,171.6,"DistancetoApex",2014
36,36,"Paul Casey",56,192.4,8464.5,44,209.9,165.1,"DistancetoApex",2014
37,37,"Stewart Cink",91,192.1,12867.5,67,208.1,169.8,"DistancetoApex",2014
37,37,"Seung Yul Noh",92,192.1,14020,73,209.7,152.3,"DistancetoApex",2014
37,37,"Will Wilcox",51,192.1,7874.8,41,215.3,147.8,"DistancetoApex",2014
40,40,"Scott Stallings",77,191,11648,61,207.9,175.8,"DistancetoApex",2014
41,41,"Michael Putnam",106,190.9,17371.9,91,208.9,161,"DistancetoApex",2014
42,42,"Martin Kaymer",65,190.7,9533.8,50,203.8,172.4,"DistancetoApex",2014
43,43,"Kyle Stanley",87,190.5,14096.9,74,212,164.2,"DistancetoApex",2014
44,44,"Billy Horschel",92,190.2,13123.9,69,206.2,176.2,"DistancetoApex",2014
45,45,"Geoff Ogilvy",84,189.5,13266.6,70,205.4,167.6,"DistancetoApex",2014
46,46,"Martin Flores",85,189.3,13626.6,72,206.8,161.6,"DistancetoApex",2014
46,46,"Martin Laird",66,189.3,8328.3,44,206.4,169.7,"DistancetoApex",2014
46,46,"Josh Teater",90,189.3,14575.9,77,205.9,166.7,"DistancetoApex",2014
49,49,"Ricky Barnes",92,189.2,14189.8,75,206.3,161.8,"DistancetoApex",2014
49,49,"Lucas Glover",68,189.2,9080.8,48,202.5,165.4,"DistancetoApex",2014
49,49,"Sean OHair",77,189.2,11162.4,59,205.1,158.4,"DistancetoApex",2014
52,52,"Kevin Chappell",100,189,16820.3,89,206.4,164.3,"DistancetoApex",2014
